LOT,LOT_DATA_COLLECT_DATE,ENTITY,MONITOR_SET_NAME,TEST_NAME,MEASUREMENT_SET_NAME,LO_CONTROL_LMT,UP_CONTROL_LMT,RESIST,CHART_PT_VALID_FLAG,CR_VALUE,RAW_WAFER,X_COORDINATE,Y_COORDINATE,SLOT
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3366.72998,AANBC142TEF7,-57.9062,96.51,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.709961,AANBC142TEF7,19.3019,96.51,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.449951,AANBC142TEF7,71.2039,127.428,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3366.159912,AANBC142TEF7,0.0067,127.428,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3381.129883,AANBC142TEF7,-57.9062,136.2,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3383.600098,AANBC119TEA0,-57.9062,-136.2,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3363.879883,AANBC119TEA0,0.0067,-134.7529999,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3390.030029,AANBC119TEA0,57.9062,-136.2,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3365.040039,AANBC119TEA0,96.51,-96.51,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.030029,AANBC119TEA0,19.3019,-96.51,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.149902,AANBC119TEA0,-57.9062,-96.51,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3378.01001,AANBC119TEA0,-136.2,-57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3367.97998,AANBC119TEA0,-96.51,-57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.850098,AANBC119TEA0,-47.4578,-36.4348,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.159912,AANBC119TEA0,-19.3019,-57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3372.409912,AANBC119TEA0,71.2039,-69.2075,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.409912,AANBC119TEA0,142.401,-36.4348,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3372.419922,AANBC119TEA0,71.2039,-3.6622,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3375.320068,AANBC119TEA0,19.3019,-19.3019,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3366.959961,AANBC119TEA0,-118.655,-3.6622,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3373.72998,AANBC119TEA0,-57.9062,19.3019,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3374.48999,AANBC119TEA0,0.0067,-3.6622,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3381.01001,AANBC119TEA0,19.3019,19.3019,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.179932,AANBC119TEA0,96.51,19.3019,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.620117,AANBC119TEA0,136.2,19.3019,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3386.110107,AANBC119TEA0,136.2,57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.050049,AANBC119TEA0,94.9361,61.8829,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3368.320068,AANBC119TEA0,57.9062,57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.790039,AANBC119TEA0,-19.3019,57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3368.949951,AANBC119TEA0,-71.1902,61.8829,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3381.340088,AANBC119TEA0,-136.2,57.9062,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.350098,AANBC119TEA0,-96.51,96.51,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.040039,AANBC119TEA0,-57.9062,96.51,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.639893,AANBC119TEA0,19.3019,96.51,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.870117,AANBC119TEA0,71.2039,127.428,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3366.330078,AANBC119TEA0,0.0067,127.428,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3378.73999,AANBC119TEA0,-57.9062,136.2,10
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3391.01001,AANBC122TEE2,-57.9062,-136.2,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3359.5,AANBC122TEE2,0.0067,-134.7529999,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3384.550049,AANBC122TEE2,57.9062,-136.2,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3357.330078,AANBC122TEE2,96.51,-96.51,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3368.47998,AANBC122TEE2,19.3019,-96.51,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.23999,AANBC122TEE2,-57.9062,-96.51,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3394.929932,AANBC122TEE2,-136.2,-57.9062,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.959961,AANBC122TEE2,-96.51,-57.9062,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3374.709961,AANBC122TEE2,-47.4578,-36.4348,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3374.310059,AANBC122TEE2,-19.3019,-57.9062,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.76001,AANBC122TEE2,71.2039,-69.2075,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.449951,AANBC122TEE2,142.401,-36.4348,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.419922,AANBC122TEE2,71.2039,-3.6622,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3375.98999,AANBC122TEE2,19.3019,-19.3019,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.649902,AANBC122TEE2,-118.655,-3.6622,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3376.870117,AANBC122TEE2,-57.9062,19.3019,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3380.780029,AANBC122TEE2,0.0067,-3.6622,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3375.830078,AANBC122TEE2,19.3019,19.3019,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.97998,AANBC122TEE2,96.51,19.3019,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3359.330078,AANBC122TEE2,136.2,19.3019,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3372.639893,AANBC122TEE2,136.2,57.9062,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3366.889893,AANBC122TEE2,94.9361,61.8829,12
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.889893,AANBC122TEE2,57.9062,57.9062,12
